Team Rating: 15, Threat Score: 659, cresselia, giratina_altered, snorlax, Grades : B, A, A, A
Team Rating: 15, Threat Score: 658, cresselia, giratina_altered, muk_alolan, Grades : B, A, A, A
Team Rating: 15, Threat Score: 644, cresselia, giratina_altered, registeel, Grades : B, A, A, A
Team Rating: 15, Threat Score: 642, cresselia, giratina_altered, machamp, Grades : B, A, A, A
Team Rating: 15, Threat Score: 640, cresselia, giratina_altered, swampert, Grades : B, A, A, A
Team Rating: 15, Threat Score: 630, cresselia, giratina_altered, obstagoon, Grades : B, A, A, A
Team Rating: 15, Threat Score: 606, cresselia, giratina_altered, lapras, Grades : B, A, A, A
Team Rating: 14, Threat Score: 716, cresselia, giratina_altered, mewtwo_armored, Grades : C, A, A, A
Team Rating: 14, Threat Score: 693, cresselia, mewtwo_armored, snorlax, Grades : C, A, A, A
Team Rating: 14, Threat Score: 693, abomasnow, cresselia, giratina_altered, Grades : C, A, A, A
Team Rating: 14, Threat Score: 677, cresselia, giratina_altered, perrserker, Grades : C, A, A, A
Team Rating: 14, Threat Score: 676, cresselia, lapras, mewtwo_armored, Grades : C, A, A, A
Team Rating: 14, Threat Score: 673, cresselia, machamp, mewtwo_armored, Grades : C, A, A, A
Team Rating: 14, Threat Score: 666, cresselia, mewtwo_armored, swampert, Grades : C, A, A, A
Team Rating: 14, Threat Score: 660, cresselia, giratina_origin, snorlax, Grades : B, A, B, A
Team Rating: 14, Threat Score: 659, cresselia, giratina_altered, poliwrath, Grades : B, A, A, B
Team Rating: 14, Threat Score: 658, cresselia, lapras, snorlax, Grades : B, A, B, A
Team Rating: 14, Threat Score: 657, articuno, mewtwo_armored, registeel, Grades : B, A, B, A
Team Rating: 14, Threat Score: 657, articuno, cresselia, giratina_altered, Grades : B, A, A, B
Team Rating: 14, Threat Score: 655, giratina_altered, machamp, mewtwo_armored, Grades : B, B, A, A
Team Rating: 14, Threat Score: 654, giratina_origin, mewtwo_armored, registeel, Grades : B, A, B, A
Team Rating: 14, Threat Score: 654, giratina_altered, registeel, togekiss, Grades : B, A, B, A
Team Rating: 14, Threat Score: 654, giratina_altered, muk_alolan, registeel, Grades : B, A, B, A
Team Rating: 14, Threat Score: 652, articuno, cresselia, snorlax, Grades : B, A, B, A
Team Rating: 14, Threat Score: 651, mewtwo_armored, registeel, snorlax, Grades : B, A, B, A
Team Rating: 14, Threat Score: 651, cresselia, machamp, snorlax, Grades : B, B, A, A
Team Rating: 14, Threat Score: 650, mewtwo_armored, obstagoon, registeel, Grades : B, A, B, A
Team Rating: 14, Threat Score: 650, giratina_altered, mewtwo_armored, registeel, Grades : B, A, B, A
Team Rating: 14, Threat Score: 648, lapras, mewtwo_armored, registeel, Grades : B, A, B, A
Team Rating: 14, Threat Score: 648, cresselia, lapras, registeel, Grades : B, A, B, A
Team Rating: 14, Threat Score: 645, lapras, mewtwo_armored, snorlax, Grades : B, A, B, A
Team Rating: 14, Threat Score: 645, giratina_altered, registeel, snorlax, Grades : B, A, B, A
Team Rating: 14, Threat Score: 645, giratina_altered, mewtwo_armored, obstagoon, Grades : B, A, B, A
Team Rating: 14, Threat Score: 644, mewtwo_armored, muk_alolan, registeel, Grades : B, A, B, A
Team Rating: 14, Threat Score: 636, giratina_altered, registeel, swampert, Grades : B, A, B, A
Team Rating: 14, Threat Score: 636, cresselia, registeel, swampert, Grades : B, A, B, A
Team Rating: 14, Threat Score: 634, abomasnow, giratina_altered, registeel, Grades : B, A, B, A
Team Rating: 14, Threat Score: 632, giratina_altered, obstagoon, registeel, Grades : B, A, B, A
Team Rating: 14, Threat Score: 631, mewtwo_armored, registeel, swampert, Grades : B, A, B, A
Team Rating: 14, Threat Score: 631, articuno, giratina_altered, mewtwo_armored, Grades : B, A, B, A
Team Rating: 14, Threat Score: 629, giratina_altered, lapras, snorlax, Grades : B, A, B, A
Team Rating: 14, Threat Score: 627, cresselia, giratina_origin, obstagoon, Grades : B, A, B, A
Team Rating: 14, Threat Score: 620, articuno, giratina_altered, registeel, Grades : B, A, B, A
Team Rating: 14, Threat Score: 618, giratina_altered, lapras, registeel, Grades : B, A, B, A
Team Rating: 14, Threat Score: 616, cresselia, giratina_origin, lapras, Grades : B, A, B, A
Team Rating: 14, Threat Score: 610, giratina_altered, lapras, mewtwo_armored, Grades : B, A, B, A
Team Rating: 13, Threat Score: 742, cresselia, giratina_altered, giratina_origin, Grades : D, A, A, A
Team Rating: 13, Threat Score: 728, cresselia, mewtwo_armored, perrserker, Grades : C, A, B, A
Team Rating: 13, Threat Score: 724, cresselia, obstagoon, snorlax, Grades : C, A, B, A
Team Rating: 13, Threat Score: 724, articuno, cresselia, registeel, Grades : C, A, B, A
Team Rating: 13, Threat Score: 716, articuno, lapras, registeel, Grades : C, A, B, A
Team Rating: 13, Threat Score: 714, cresselia, giratina_origin, mewtwo_armored, Grades : C, A, B, A
Team Rating: 13, Threat Score: 714, abomasnow, cresselia, snorlax, Grades : C, A, B, A
Team Rating: 13, Threat Score: 713, articuno, registeel, snorlax, Grades : C, A, B, A
Team Rating: 13, Threat Score: 707, cresselia, giratina_altered, togekiss, Grades : C, A, B, A
Team Rating: 13, Threat Score: 706, cresselia, snorlax, togekiss, Grades : C, A, B, A
Team Rating: 13, Threat Score: 705, cresselia, muk_alolan, registeel, Grades : C, A, B, A
Team Rating: 13, Threat Score: 704, lapras, registeel, swampert, Grades : C, A, B, A
Team Rating: 13, Threat Score: 702, cresselia, obstagoon, registeel, Grades : C, A, B, A
Team Rating: 13, Threat Score: 700, cresselia, mewtwo_armored, muk_alolan, Grades : C, A, A, B
Team Rating: 13, Threat Score: 698, cresselia, muk_alolan, snorlax, Grades : C, A, B, A
Team Rating: 13, Threat Score: 698, abomasnow, mewtwo_armored, registeel, Grades : C, A, B, A
Team Rating: 13, Threat Score: 697, cresselia, mewtwo_armored, obstagoon, Grades : C, A, B, A
Team Rating: 13, Threat Score: 692, cresselia, mewtwo_armored, registeel, Grades : C, A, B, A
Team Rating: 13, Threat Score: 691, giratina_origin, registeel, snorlax, Grades : C, A, B, A
Team Rating: 13, Threat Score: 690, cresselia, machamp, registeel, Grades : C, A, B, A
Team Rating: 13, Threat Score: 684, articuno, cresselia, obstagoon, Grades : C, A, B, A
Team Rating: 13, Threat Score: 681, cresselia, lapras, obstagoon, Grades : C, A, B, A
Team Rating: 13, Threat Score: 679, cresselia, lapras, perrserker, Grades : C, A, B, A
Team Rating: 13, Threat Score: 679, articuno, cresselia, mewtwo_armored, Grades : C, A, A, B
Team Rating: 13, Threat Score: 678, giratina_altered, mewtwo_armored, snorlax, Grades : C, A, B, A
Team Rating: 13, Threat Score: 677, giratina_altered, giratina_origin, registeel, Grades : C, A, B, A
Team Rating: 13, Threat Score: 676, cresselia, snorlax, swampert, Grades : C, A, B, A
Team Rating: 13, Threat Score: 675, cresselia, registeel, snorlax, Grades : C, A, B, A
Team Rating: 13, Threat Score: 675, cresselia, obstagoon, swampert, Grades : C, A, B, A
Team Rating: 13, Threat Score: 669, cresselia, giratina_origin, muk_alolan, Grades : C, A, B, A
Team Rating: 13, Threat Score: 667, cresselia, giratina_origin, registeel, Grades : C, A, B, A
Team Rating: 13, Threat Score: 665, giratina_origin, lapras, registeel, Grades : C, A, B, A
Team Rating: 13, Threat Score: 664, giratina_altered, obstagoon, swampert, Grades : B, B, B, A
Team Rating: 13, Threat Score: 664, cresselia, muk_alolan, poliwrath, Grades : B, A, B, B
Team Rating: 13, Threat Score: 661, giratina_origin, mewtwo_armored, swampert, Grades : B, B, B, A
Team Rating: 13, Threat Score: 661, giratina_altered, obstagoon, snorlax, Grades : B, B, B, A
Team Rating: 13, Threat Score: 660, lapras, mewtwo_armored, obstagoon, Grades : B, B, B, A
Team Rating: 13, Threat Score: 660, giratina_altered, obstagoon, togekiss, Grades : B, B, B, A
